number,role_type,name,poster
16,Musician,Mychael,https://image.tmdb.org/t/p/w500/4rHnaofLwdVB5B7X1QgtDWRxUo7.jpg
22,Musician,Mychael,https://image.tmdb.org/t/p/w500/4rHnaofLwdVB5B7X1QgtDWRxUo7.jpg
20,Producer,Nicole Paradis Grindle,http://www.animationscoop.com/wp-content/uploads/2019/01/nicole-grindle.jpg
1,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
3,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
4,Director,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
4,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
9,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
10,Director,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
10,Screenwriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
10,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
15,Director,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
15,Screenwriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
15,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
23,Director,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
23,Screenwriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
23,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
16,Director,Peter Sohn,https://image.tmdb.org/t/p/w500/8cQGViF2lXlcsAIvFUMWboXYXIu.jpg
16,Storywriter,Peter Sohn,https://image.tmdb.org/t/p/w500/8cQGViF2lXlcsAIvFUMWboXYXIu.jpg
27,Director,Peter Sohn,https://image.tmdb.org/t/p/w500/8cQGViF2lXlcsAIvFUMWboXYXIu.jpg
27,Storywriter,Peter Sohn,https://image.tmdb.org/t/p/w500/8cQGViF2lXlcsAIvFUMWboXYXIu.jpg
7,Screenwriter,Phil Lorin,https://comicvine.gamespot.com/a/uploads/scale_small/13/135331/2660015-pl2_headshot.jpg
4,Storywriter,Ralph Eggleston,https://image.tmdb.org/t/p/w500/28ZxW5tHMuWYK8T3I0xLfVAF9yw.jpg
1,Producer,Ralph Guggenheim,https://www.stage32.com/sites/stage32.com/files/imagecache/head_shot_500/headshots/956ddf33f51da9a31dda747265bb796c_1357853222_l.jpg
1,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
2,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
3,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
4,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
7,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
11,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
14,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
18,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
21,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
21,Storywriter,Rashida Jones,https://image.tmdb.org/t/p/w500/cgWGm9eYCretBWeljPVtpRV7n6V.jpg
3,Screenwriter,Rita Hsiao,https://image.tmdb.org/t/p/w500/8xRKI6ZkRtu4NK6Ko8OK9PRPSxr.jpg
14,Screenwriter,Robert L. Baird,https://image.tmdb.org/t/p/w500/okdPZRcL1eZCxBb5BqkLRlTgK5v.jpg
14,Storywriter,Robert L. Baird,https://image.tmdb.org/t/p/w500/okdPZRcL1eZCxBb5BqkLRlTgK5v.jpg
15,Co-director,Ronnie del Carmen,https://image.tmdb.org/t/p/w500/lPCmkQK76DOgkmcRjg9394QPyAu.jpg
25,Storywriter,Sarah Streicher,https://br.web.img2.acsta.net/c_310_420/pictures/20/11/18/21/11/0834924.jpg
21,Screenwriter,Stephany Folsom,https://image.tmdb.org/t/p/w500/5OAuBOYlQOeQfexrbkT0QOWBfxi.jpg
21,Storywriter,Stephany Folsom,https://image.tmdb.org/t/p/w500/5OAuBOYlQOeQfexrbkT0QOWBfxi.jpg
5,Musician,Thomas Newman,https://image.tmdb.org/t/p/w500/fQW50lSwXjgBWtaxYQ6BMGsiJSX.jpg
9,Musician,Thomas Newman,https://image.tmdb.org/t/p/w500/fQW50lSwXjgBWtaxYQ6BMGsiJSX.jpg
17,Musician,Thomas Newman,https://image.tmdb.org/t/p/w500/fQW50lSwXjgBWtaxYQ6BMGsiJSX.jpg
27,Musician,Thomas Newman,https://image.tmdb.org/t/p/w500/fQW50lSwXjgBWtaxYQ6BMGsiJSX.jpg
10,Storywriter,Tom McCarthy,https://image.tmdb.org/t/p/w500/cEA6cxG3AiH0hUzFH9mUQQVy20O.jpg
23,Musician,Trent Reznor,https://image.tmdb.org/t/p/w500/v6DcTfFqFTFaR8gqMK6sOODKS0T.jpg
21,Storywriter,Valerie LaPointe,https://image.tmdb.org/t/p/w500/6bvaPm3vqVnMVwKaDtuK2qoAvTd.jpg
17,Screenwriter,Victoria Strouse,https://image.tmdb.org/t/p/w500/n4ZvLyMQmIGx6257xZnEJb41fP7.jpg
21,Storywriter,Will McCormack,https://image.tmdb.org/t/p/w500/AsSOsIeLyFqG24i4rludqD0hC2O.jpg
